Year,Tourist Arrivals: Monthly: Malaysia
Jan-89,302358
Feb-89,332160
Mar-89,424164
Apr-89,407578
May-89,336534
Jun-89,390537
Jul-89,365968
Aug-89,328002
Sep-89,351584
Oct-89,444287
Nov-89,398024
Dec-89,472196
Jan-90,530680
Feb-90,557382
Mar-90,661695
Apr-90,754449
May-90,608055
Jun-90,615231
Jul-90,497944
Aug-90,506438
Sep-90,598768
Oct-90,598582
Nov-90,584647
Dec-90,565236
Jan-91,379925
Feb-91,364720
Mar-91,518768
Apr-91,410288
May-91,379081
Jun-91,648257
Jul-91,491636
Aug-91,457422
Sep-91,432512
Oct-91,444403
Nov-91,446159
Dec-91,570205
Jan-92,393562
Feb-92,438529
Mar-92,433087
Apr-92,423215
May-92,414967
Jun-92,551969
Jul-92,449166
Aug-92,516484
Sep-92,448142
Oct-92,484645
Nov-92,533688
Dec-92,599787
Jan-93,512035
Feb-93,434407
Mar-93,499333
Apr-93,503994
May-93,484711
Jun-93,655720
Jul-93,568503
Aug-93,628866
Sep-93,463869
Oct-93,505954
Nov-93,561877
Dec-93,684591
Jan-94,517596
Feb-94,581811
Mar-94,565293
Apr-94,553649
May-94,586867
Jun-94,732380
Jul-94,654082
Aug-94,614847
Sep-94,594897
Oct-94,563288
Nov-94,540019
Dec-94,692500
Jan-95,608015
Feb-95,514212
Mar-95,674541
Apr-95,576918
May-95,655372
Jun-95,749420
Jul-95,596182
Aug-95,606120
Sep-95,615527
Oct-95,565145
Nov-95,578734
Dec-95,728563
Jan-96,563020
Feb-96,472023
Mar-96,629917
Apr-96,646165
May-96,518213
Jun-96,804030
Jul-96,456505
Aug-96,586041
Sep-96,523746
Oct-96,579675
Nov-96,610795
Dec-96,748322
Jan-97,453865
Feb-97,630080
Mar-97,616842
Apr-97,337701
May-97,585649
Jun-97,723525
Jul-97,506592
Aug-97,501955
Sep-97,464800
Oct-97,438140
Nov-97,466762
Dec-97,485010
Jan-98,332931
Feb-98,149524
Mar-98,559422
Apr-98,574261
May-98,469479
Jun-98,577010
Jul-98,299483
Aug-98,596239
Sep-98,477080
Oct-98,459713
Nov-98,461985
Dec-98,593621
Jan-99,508726
Feb-99,472440
Mar-99,613852
Apr-99,532764
May-99,588151
Jun-99,710163
Jul-99,641761
Aug-99,627300
Sep-99,699756
Oct-99,865800
Nov-99,873537
Dec-99,796899
Jan-00,731509
Feb-00,786040
Mar-00,737678
Apr-00,916382
May-00,894350
Jun-00,960782
Jul-00,811876
Aug-00,764500
Sep-00,778587
Oct-00,990658
Nov-00,806648
Dec-00,1042572
Jan-01,1052854
Feb-01,1090219
Mar-01,1492235
Apr-01,1358776
May-01,1038210
Jun-01,1308788
Jul-01,1125504
Aug-01,1149987
Sep-01,927206
Oct-01,596202
Nov-01,759321
Dec-01,975771
Jan-02,834519
Feb-02,986408
Mar-02,1272810
Apr-02,1106053
May-02,1153033
Jun-02,1297536
Jul-02,1135691
Aug-02,1163724
Sep-02,1029120
Oct-02,1015946
Nov-02,1061229
Dec-02,1253941
Jan-03,1070428
Feb-03,985343
Mar-03,819376
Apr-03,456374
May-03,541267
Jun-03,719047
